200000000001||1||ABC||000000001||AAAA1       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                    
200000000002||2||ABC||000000002||AAAA2       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                    
200000000003||3||ABC||000000003||AAAA3       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                    
200000000004||4||ABC||000000004||AAAA4       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                    
200000000005||5||ABC||000000005||AAAA5       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                    
200000000006||6||ABC||000000006||AAAA6       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                    
200000000007||7||ABC||000000007||AAAA7       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                    
200000000008||8||ABC||000000008||AAAA8       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                    
200000000009||9||ABC||000000009||AAAA9       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                    
200000000010||10||ABC||000000010||AAA10       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000011||11||ABC||000000011||AAA11       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000012||12||ABC||000000012||AAA12       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000013||13||ABC||000000013||AAA13       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000014||14||ABC||000000014||AAA14       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000015||15||ABC||000000015||AAA15       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000016||16||ABC||000000016||AAA16       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000017||17||ABC||000000017||AAA17       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000018||18||ABC||000000018||AAA18       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000019||19||ABC||000000019||AAA19       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000020||20||ABC||000000020||AAA20       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000021||21||ABC||000000021||AAA21       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000022||22||ABC||000000022||AAA22       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000023||23||ABC||000000023||AAA23       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000024||24||ABC||000000024||AAA24       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000025||25||ABC||000000025||AAA25       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000026||26||ABC||000000026||AAA26       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000027||27||ABC||000000027||AAA27       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000028||28||ABC||000000028||AAA28       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
200000000029||29||ABC||000000029||AAA29       ||AA||BB||CC ||12345||AA11||AA1122||AA112233||KB12345 ||Y||012||K123||A12345 ||12/01/10||                                   
